iter	Passed	Remaining
815	20882	4708
816	20906	4682
817	20931	4657
818	20953	4630
819	20976	4604
820	21001	4578
821	21025	4553
822	21048	4526
823	21070	4500
824	21097	4475
825	21121	4449
826	21149	4424
827	21171	4397
828	21195	4372
829	21219	4346
830	21243	4320
831	21266	4294
832	21289	4268
833	21313	4242
834	21341	4217
835	21365	4191
836	21394	4166
837	21425	4141
838	21449	4116
839	21480	4091
840	21510	4066
841	21539	4041
842	21565	4016
843	21597	3992
844	21631	3967
845	21660	3942
846	21700	3920
847	21737	3896
848	21793	3876
849	21831	3852
850	21872	3829
851	21903	3804
852	21935	3780
853	21966	3755
854	22004	3731
855	22032	3706
856	22076	3683
857	22118	3660
858	22164	3638
859	22210	3615
860	22258	3593
861	22303	3570
862	22344	3547
863	22389	3524
864	22432	3501
865	22477	3478
866	22560	3460
867	22608	3438
868	22642	3413
869	22667	3387
870	22691	3360
871	22717	3334
872	22744	3308
873	22769	3282
874	22794	3256
875	22819	3230
876	22841	3203
877	22863	3176
878	22888	3150
879	22913	3124
880	22938	3098
881	22963	3072
882	22987	3045
883	23013	3019
884	23038	2993
885	23061	2967
886	23084	2940
887	23107	2914
888	23134	2888
889	23160	2862
890	23186	2836
891	23213	2810
892	23237	2784
893	23266	2758
894	23290	2732
895	23314	2706
896	23338	2679
897	23365	2653
898	23390	2627
899	23412	2601
900	23437	2575
901	23466	2549
902	23490	2523
903	23517	2497
904	23542	2471
905	23569	2445
906	23600	2419
907	23630	2394
908	23658	2368
909	23687	2342
910	23715	2316
911	23745	2291
912	23772	2265
913	23800	2239
914	23830	2213
915	23859	2187
916	23892	2162
917	23924	2137
918	23951	2111
919	23982	2085
920	24013	2059
921	24042	2033
922	24073	2008
923	24103	1982
924	24131	1956
925	24160	1930
926	24191	1905
927	24219	1879
928	24246	1853
929	24271	1826
930	24295	1800
931	24318	1774
932	24344	1748
933	24366	1721
934	24394	1695
935	24423	1669
936	24449	1643
937	24476	1617
938	24498	1591
939	24523	1565
940	24548	1539
941	24577	1513
942	24605	1487
943	24632	1461
944	24655	1434
945	24680	1408
946	24709	1382
947	24733	1356
948	24758	1330
949	24786	1304
950	24810	1278
951	24837	1252
952	24861	1226
953	24887	1200
954	24911	1173
955	24939	1147
956	24961	1121
957	24987	1095
958	25011	1069
959	25036	1043
960	25061	1017
961	25089	991
962	25118	965
963	25143	938
964	25168	912
965	25195	886
966	25222	860
967	25250	834
968	25275	808
969	25302	782
970	25329	756
971	25352	730
972	25377	704
973	25408	678
974	25434	652
975	25459	626
976	25483	599
977	25505	573
978	25531	547
979	25560	521
980	25585	495
981	25607	469
982	25630	443
983	25654	417
984	25680	391
985	25705	364
986	25732	338
987	25759	312
988	25786	286
989	25813	260
990	25839	234
991	25864	208
992	25886	182
993	25909	156
994	25935	130
995	25960	104
996	25985	78
997	26012	52
998	26035	26
999	26063	0
